Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-25 00:00:00+05:30,719.0599975585938,734.3499755859375,703.4600219726562,727.8699951171875,122410,0.0,0.0
2025-08-26 00:00:00+05:30,728.9000244140625,728.9000244140625,717.52001953125,718.5700073242188,335015,0.0,0.0
2025-08-27 00:00:00+05:30,718.5700073242188,718.5700073242188,718.5700073242188,718.5700073242188,0,0.0,0.0
2025-08-28 00:00:00+05:30,740.1300048828125,740.1300048828125,708.7000122070312,709.469970703125,303050,0.0,0.0
2025-08-29 00:00:00+05:30,708.9500122070312,716.469970703125,702.2999877929688,707.47998046875,338382,0.0,0.0
2025-09-01 00:00:00+05:30,713.0,724.3499755859375,701.469970703125,716.4600219726562,361714,0.0,0.0
2025-09-02 00:00:00+05:30,723.0,723.3499755859375,711.0,719.5999755859375,225075,0.0,0.0
2025-09-03 00:00:00+05:30,730.0,730.0,715.6500244140625,723.8699951171875,197705,0.0,0.0
2025-09-04 00:00:00+05:30,716.0,734.3400268554688,716.0,721.280029296875,285313,0.0,0.0
2025-09-05 00:00:00+05:30,728.0,728.0,717.0,721.1300048828125,202395,0.0,0.0
2025-09-08 00:00:00+05:30,728.0,749.7000122070312,714.25,724.02001953125,189824,0.0,0.0
2025-09-09 00:00:00+05:30,728.510009765625,728.6199951171875,721.1500244140625,724.9400024414062,106407,0.0,0.0
2025-09-10 00:00:00+05:30,733.3499755859375,733.3499755859375,725.5,728.6599731445312,290812,0.0,0.0
2025-09-11 00:00:00+05:30,732.22998046875,732.22998046875,726.3900146484375,729.8800048828125,179990,0.0,0.0
2025-09-12 00:00:00+05:30,735.8499755859375,735.8499755859375,730.0,732.219970703125,135770,0.0,0.0
2025-09-15 00:00:00+05:30,725.0,739.7000122070312,725.0,736.2999877929688,231942,0.0,0.0
2025-09-16 00:00:00+05:30,743.0,743.0,730.5,739.8699951171875,183863,0.0,0.0
2025-09-17 00:00:00+05:30,743.5700073242188,745.1099853515625,734.97998046875,743.0999755859375,260953,0.0,0.0
2025-09-18 00:00:00+05:30,743.0999755859375,746.5499877929688,737.6500244140625,744.9299926757812,204706,0.0,0.0
2025-09-19 00:00:00+05:30,767.280029296875,767.280029296875,739.5,748.75,199109,0.0,0.0
2025-09-22 00:00:00+05:30,754.3499755859375,756.0,743.0,749.8900146484375,404323,0.0,0.0
